"Pgl_Bez","Attempt","Soil_identification","Attempt_ID","N_Fertilization_kg_ha","Ert_dt_ha","RP_Go","N_Efficiency","Real_sample","CropType_Long","Variety","Year","pH","K","K_Class","P","P_Class","Mg","Mg_Class","Corg","NH4_N","NO3_N","Nges","Smin","B","B_Class","Mn","Mn_Class","Cu","Cu_Class","Zn","Mo","KAK_eff","Ca_eff","Mg_eff","K_eff","Na_eff","BS","Soiltype","Soiltype_Short","Soil Group","Sand","Silt","Clay","NS_Sum_T1_10d","NS_Sum_T2_10d","NS_Sum_T3_10d","NS_Sum_T4_10d","NS_Sum_T5_10d","T_Air_T1_10d","T_Air_T2_10d","T_Air_T3_10d","T_Air_T4_10d","T_Air_T5_10d","T_Bo_0-10_T1_10d","T_Bo_0-10_T2_10d","T_Bo_0-10_T3_10d","T_Bo_0-10_T4_10d","T_Bo_0-10_T5_10d","T_Bo_10-20_T1_10d","T_Bo_10-20_T2_10d","T_Bo_10-20_T3_10d","T_Bo_10-20_T4_10d","T_Bo_10-20_T5_10d","T_Bo_20-30_T1_10d","T_Bo_20-30_T2_10d","T_Bo_20-30_T3_10d","T_Bo_20-30_T4_10d","T_Bo_20-30_T5_10d","T_Bo_0-30_T1_10d","T_Bo_0-30_T2_10d","T_Bo_0-30_T3_10d","T_Bo_0-30_T4_10d","T_Bo_0-30_T5_10d","BOF_0-30_T1_10d","BOF_0-30_T2_10d","BOF_0-30_T3_10d","BOF_0-30_T4_10d","BOF_0-30_T5_10d","BOF_0-60_T1_10d","BOF_0-60_T2_10d","BOF_0-60_T3_10d","BOF_0-60_T4_10d","BOF_0-60_T5_10d","BOF_0-100_T1_10d","BOF_0-100_T2_10d","BOF_0-100_T3_10d","BOF_0-100_T4_10d","BOF_0-100_T5_10d","BOW_0-30_T1_10d","BOW_0-30_T2_10d","BOW_0-30_T3_10d","BOW_0-30_T4_10d","BOW_0-30_T5_10d","BOW_0-60_T1_10d","BOW_0-60_T2_10d","BOW_0-60_T3_10d","BOW_0-60_T4_10d","BOW_0-60_T5_10d","BOW_0-100_T1_10d","BOW_0-100_T2_10d","BOW_0-100_T3_10d","BOW_0-100_T4_10d","BOW_0-100_T5_10d","vW_6-18_T1_10d","vW_6-18_T2_10d","vW_6-18_T3_10d","vW_6-18_T4_10d","vW_6-18_T5_10d","fertilizer_type","urea","NI","UI","N_amount_rel","No_of_applications","T1","T2","T3","T4","T5","UI_T1","UI_T2","UI_T3","UI_T4","UI_T5","NI_T1","NI_T2","NI_T3","NI_T4","NI_T5"
"KAS_35_35_30_T2_T3_T5","WW-N901-22-SH","Futterkamp WW 21/07","WW-N901-22-SH_12",210,114.03,10.8,50.1,"n","Winter Soft Wheat","LG Initial",2022,6.5,17.8,"C",7.6,"C",16.7,"C",1.34,0.14,1.45,0.11,0.27,0.6,"C",110.5,"C",3.06,"C",7.99,0.054,7.1,7.49,1.53,0.55,0.1,134.8,"highly loamy sand","Sl4",3,53.2,33.1,13.6,105.4,2.1,0.4,46.3,37.1,6.110227273,4.695454545,8.148863636,14.39507576,12.43257576,5.557954545,5.070833333,9.790265152,13.4694697,11.85814394,5.540643939,5.029280303,9.676212121,13.26174242,11.85409091,5.517916667,4.972234848,9.458522727,12.90140152,11.8380303,5.538838384,5.024116162,9.641666667,13.21087121,11.85008838,117.7469697,96.47233333,95.46760606,68.81393939,87.91178788,122.6174848,102.1028939,100.6314697,63.14486364,69.31889394,125.1478273,106.3550818,104.9072273,70.13134545,69.68269091,70.68315267,57.91205228,57.30891752,41.30880138,52.77318253,147.7123793,122.9992722,121.2267063,76.06809143,83.50569877,222.1484064,188.7896295,186.2195602,124.4893097,123.6929084,4.949451556,2.617946048,3.152489007,3.024877829,3.136058383,"CAN",0,0,0,100,3,0,35,35,0,30,0,0,0,0,0,0,0,0,0,0
"ohne N","WW-N901-21-SH","Futterkamp WW 21/07","WW-N901-21-SH_01",0,81.93,10.6,NA,"j","Winter Soft Wheat","LG Initial",2021,6.5,17.8,"C",7.6,"C",16.7,"C",1.34,0.14,1.45,0.11,0.27,0.6,"C",110.5,"C",3.06,"C",7.99,0.054,7.1,7.49,1.53,0.55,0.1,134.8,"highly loamy sand","Sl4",3,53.2,33.1,13.6,0.2,8,19,15.3,5.3,3.998863636,8.296969697,5.540151515,11.35568182,16.90833333,4.923257576,8.174015152,6.761287879,10.71647727,15.03939394,5.017310606,7.961931818,6.683143939,10.63962121,14.76007576,5.154204545,7.596893939,6.56594697,10.50291667,14.28450758,5.031590909,7.91094697,6.670126263,10.61967172,14.69465909,86.79688889,98.83506061,102.3385455,78.15351515,62.18287879,92.99198611,105.3850455,107.7569545,93.2249697,80.99424242,96.80878333,109.6095636,109.5276091,101.1148909,91.33929091,52.10391201,59.33039038,61.43352182,46.91532068,37.32819559,112.023726,126.9531489,129.8104929,112.304392,97.57052408,171.8441096,194.5666211,194.4211446,179.4878295,162.1352792,2.453639811,3.199042441,3.318438306,3.374850115,2.486501058,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ohne N","WW-N920-22-NI","Munderloh WW 21/05","WW-N920-22-NI_01",0,35.38,9.5,NA,"n","Winter Soft Wheat","Chevignon",2022,5.6,22.6,"C",9.6,"C",13.7,"C",1.22,0.15,1.36,0.11,0.49,0.41,"C",108.4,"C",4.96,"C",12.04,0.024,7.8,5.6,1.15,0.85,0.1,97.8,"highly loamy sand","Sl4",3,73.8,13.8,12.4,73.2,14.4,22.6,39,44.3,6.888636364,6.174242424,5.235606061,16.46136364,14.23257576,6.537954545,6.352916667,6.524583333,15.11162879,13.8432197,6.528674242,6.279583333,6.627159091,14.97443182,13.84265152,6.512916667,6.165,6.803143939,14.72329545,13.81829545,6.526515152,6.265833333,6.651628788,14.93645202,13.83472222,106.678697,86.33181818,79.2580303,35.97036364,43.86524242,107.7546364,87.68790909,78.35109091,27.79134848,30.46480303,109.2815091,91.19867273,82.00137273,33.391,33.86477273,52.74930861,42.6884078,39.19063899,17.78622974,21.69000256,115.6967996,94.15103412,84.12603642,29.83973762,32.7102418,201.73607,168.3547562,151.3763381,61.6405206,62.51511548,5.962673352,3.083480387,3.59994966,3.374850115,3.976210943,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AnN_Pp_50_50_T1_T3","WG-N921-21-NI","Icker 1 WG 21/06","WG-N921-21-NI_06",120,80.25,10.9,52,"n","Winter Barley","Sensation",2021,6,19.5,"C",4.4,"B",7.8,"C",1.14,0.13,2.22,0.12,1.05,0.56,"C",184.2,"C",3.5,"C",6.66,0.017,6.7,6.42,0.43,0.71,0.1,112.8,"highly loamy sand","Sl4",3,59.9,27,13.1,4.5,6.4,20,NA,NA,7.83219697,9.492424242,7.986363636,NA,NA,6.807234848,8.661098485,8.021401515,NA,NA,6.77469697,8.447840909,8.017272727,NA,NA,6.698143939,8.081628788,8.005037879,NA,NA,6.760025253,8.396856061,8.014570707,NA,NA,81.67047222,88.34406061,66.52724242,NA,NA,85.11531944,91.99633333,67.77201515,NA,NA,89.80165833,97.28814545,74.28876364,NA,NA,48.63427619,52.60835803,39.6165737,NA,NA,102.3438517,110.6176791,81.49001983,NA,NA,169.2037458,183.3097399,139.9744427,NA,NA,2.098738338,3.162895068,3.644860031,NA,NA,"ALZON+Piagran pro",1,1,1,100,2,50,0,50,0,0,1,0,1,0,0,1,0,0,0,0
"AnN_50_50_T1_T3","WW-N910-21-MV","Rosenow WW 21/07","WW-N910-21-MV_05",200,78.71,13.2,39.9,"j","Winter Soft Wheat","Akteur",2021,6.4,13.9,"C",3.4,"B",10.9,"C",0.7,0.12,2.04,0.12,2.1,0.53,"C",91.73,"C",1.59,"C",4.1,0.051,4.2,3.91,0.84,0.44,0.1,123.6,"medium loamy sand","Sl3",2,67.2,24.3,8.5,4.6,8.1,15.7,16,0.3,4.251515152,7.762121212,6.741287879,14.11439394,17.99128788,4.644128788,8.297575758,7.351590909,12.6444697,16.40537879,4.577272727,8.190530303,7.335984848,12.40685606,16.08871212,4.480530303,7.983143939,7.311969697,12.01329545,15.54284091,4.567310606,8.157083333,7.333181818,12.35487374,16.01231061,103.9602727,93.92712121,73.37830303,56.02439394,47.78669697,109.1706667,101.4970758,85.95380303,71.47409091,65.97665152,110.8072636,105.9186182,93.59214545,82.42454545,78.40728182,62.40703984,56.38416908,44.04877517,33.63127561,28.68621083,131.5135353,122.2694673,103.5451084,86.10197835,79.47943301,196.692644,188.0148681,166.1342943,146.3108215,139.1798251,3.448787921,4.229790236,3.932395947,3.243405125,2.950940022,"Alzon",1,1,1,100,2,50,0,50,0,0,1,0,1,0,0,1,0,1,0,0
"AnN_Pp_70_30_T2_T4","WW-N951-22-TH","Großvargula WW 22/05","WW-N951-22-TH_07",205,91.48,15.3,50.4,"j","Winter Soft Wheat","Findus",2022,6.2,23.3,"C",3,"B",26.2,"C",2.05,0.09,1.23,0.19,0.23,1.07,"C",363.2,"C",4.21,"C",3.18,0.03,18.1,16.68,2.86,1.07,0.1,113.9,"medium silty clay","Tu3",5,2.3,64.9,32.8,8.6,0,9.1,18.7,22.4,3.878787879,5.752272727,9.407954545,16.65795455,14.28674242,4.581401515,6.084393939,9.651325758,15.19121212,13.41155303,4.757386364,5.930681818,9.539734848,15.01723485,13.31526515,5.038030303,5.687916667,9.349583333,14.69981061,13.14715909,4.792272727,5.900997475,9.51354798,14.96941919,13.29132576,96.971,93.00751515,81.76284848,43.527,28.77239394,97.79501389,94.44289394,78.92395455,39.44015152,26.69401515,83.998,87.21400909,74.70983636,42.23667273,31.76230909,88.60453606,84.98301276,74.70851344,39.77157749,26.28996934,173.230078,167.2922702,139.8026572,69.86266735,47.28468398,228.014167,236.7440847,202.8012703,114.6522506,86.21939151,4.361782913,2.374772817,2.613564548,3.338702742,2.959155334,"Alzon+Piagran pro",1,1,1,100,2,0,70,0,30,0,0,1,0,1,0,0,1,0,0,0
"ohne N","WG-N963-22-NW","Elsdorf WG 21/07","WG-N963-22-NW_01",0,38.36,NA,NA,"n","Winter Barley","SY Baracooda",2022,6,10.5,"C",3.9,"B",5,"B",1.27,0.09,2.66,0.12,1.58,0.93,"C",198.2,"C",2.67,"C",10.18,0.015,8.3,7.9,0.43,0.38,0.1,104.9,"medium clayey silt","Ut3",4,2.8,82.9,14.2,4.4,6.8,8.8,NA,NA,3.661363636,8.263257576,10.97689394,NA,NA,4.344886364,7.825037879,10.80045455,NA,NA,4.536022727,7.702765152,10.74102273,NA,NA,4.858181818,7.498143939,10.63583333,NA,NA,4.57969697,7.675315657,10.7257702,NA,NA,95.47558333,91.14693939,57.63687879,NA,NA,96.28526389,94.02192424,59.35760606,NA,NA,96.75504167,97.05193636,67.21483636,NA,NA,81.88339286,78.17098766,49.43151981,NA,NA,157.6745336,153.9681406,97.20265046,NA,NA,255.9094416,256.6947046,177.7779322,NA,NA,2.455009029,3.028711641,2.568654177,NA,NA,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ohne N","WW-N954-21-TH","Isseroda WW 21/07","WW-N954-21-TH_01",0,68.98,10.1,NA,"j","Winter Soft Wheat","Bernstein",2021,5.2,13.6,"C",9.2,"C",9.5,"B",2.16,0.09,2.59,0.23,0.66,0.58,"C",112.9,"C",3.89,"C",3.59,0.008,17.5,16.06,1.02,0.55,0.1,100.7,"highly silty clay","Tu4",5,1.7,66,32.3,13.2,5.2,35.7,28.5,30.8,5.660227273,4.2875,11.46780303,15.69469697,18.35492424,5.792878788,4.419772727,11.45219697,13.05742424,15.59215909,5.804583333,4.379356061,11.32378788,12.75564394,15.22227273,5.80844697,4.329886364,11.07352273,12.24488636,14.57579545,5.801969697,4.376338384,11.28316919,12.68598485,15.13007576,91.294,102.4634848,89.76351515,77.86221212,76.32139394,90.65816667,100.208697,78.621,64.17395455,61.03024242,70.56405,80.0088,65.55426364,54.16893636,51.4911,78.29711228,87.87647576,76.98451184,66.77751402,65.45605133,152.8896493,168.9960551,132.5896779,108.2255881,102.9239031,192.8092808,218.6161251,179.1205355,148.0112559,140.6943331,2.346840756,3.465218545,3.799307894,2.049994154,2.066424778,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pp_AnN_35_65_T1_T3","WW-N985-22-BW","Stetten WG 22/08","WW-N985-22-BW_11",210,87.52,13.1,49.8,"n","Winter Soft Wheat","Boss",2022,6.9,42.6,"C",27.3,"C",11.2,"C",4.3,0.05,4.1,0.4,1.08,0.68,"C",34.11,"C",3.65,"C",8.07,0.02,40.1,40.44,1.91,1.89,0.1,110.3,"loamy clay","Tl",5,10.6,29.5,59.9,0,26,32.9,9.6,34.1,-0.661363636,6.768560606,12.02689394,14.05340909,13.00757576,0.4875,7.147007576,11.93208333,13.70537879,12.10628788,0.578409091,6.979280303,11.61541667,13.55871212,11.98143939,0.763257576,6.676022727,11.06893939,13.28352273,11.76431818,0.609722222,6.934103535,11.53881313,13.51587121,11.95068182,93.99369697,75.1229697,100.874,75.37251515,62.35521212,99.53395455,85.74656061,102.2114394,73.96578788,51.47856061,103.0207636,93.26140909,104.2017545,79.00192727,57.1002,33.98041334,27.15830576,36.46776673,27.24852093,22.54253158,72.05243063,62.07176373,73.99065655,53.54368591,37.26522707,125.3525746,113.4776847,126.7895689,96.12717505,69.47781035,2.502383994,1.893355541,2.183082207,2.287690511,2.180343769,"Piagran pro+Alzon",1,1,1,100,2,35,0,65,0,0,1,0,1,0,0,0,0,1,0,0
"AnN_100_T1","WG-N942-21-BB","Dedelow WW 21/06","WG-N942-21-BB_05",180,103.12,10.5,38.8,"n","Winter Barley","SU Jule",2021,6.2,10.5,"C",4.5,"B",11.6,"C",0.91,0.13,2.02,0.1,0.94,0.5,"C",151,"C",2.79,"C",4.81,0.043,6.6,5.5,0.92,0.38,0.1,103,"medium loamy sand","Sl3",2,60.6,31.1,8.3,2.5,18,2.4,NA,NA,6.016666667,2.859848485,6.502651515,NA,NA,5.623787879,4.192689394,7.372083333,NA,NA,5.417992424,4.283143939,7.315757576,NA,NA,5.055189394,4.41469697,7.218825758,NA,NA,5.365656566,4.296843434,7.302222222,NA,NA,94.27519444,105.2996061,89.20436364,NA,NA,99.29763889,108.1512879,92.04113636,NA,NA,102.7720417,109.5355545,95.98474545,NA,NA,56.5931164,63.21103762,53.54911188,NA,NA,119.6198937,130.2855305,110.8782753,NA,NA,182.4294179,194.4352484,170.3813698,NA,NA,2.774036973,3.789997208,4.223765674,NA,NA,"Alzon",1,1,1,100,1,100,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Pp_35_35_30_T2_T3_T5","WW-N012-22-S","Sehlis WW 21/07","WW-N012-22-S_03",210,87,12.3,38.9,"n","Winter Soft Wheat","RGT Reform",2022,6.1,13.9,"C",6.2,"C",10,"C",1.1,0.1,1.98,0.1,0.99,0.32,"C",81.6,"C",1.45,"C",5.69,0.024,7.1,5.37,0.93,0.54,0.1,96.3,"loamy silty sand","Slu",3,40.1,49.7,10.2,2.5,7.3,1.6,17.5,20.1,2.305208333,5.875378788,15.53333333,17.71780303,16.82007576,3.900189394,5.71469697,14.44515152,16.01473485,15.61113636,4.087916667,5.648939394,14.16859848,15.70382576,15.44128788,4.409090909,5.546136364,13.68996212,15.17113636,15.13458333,4.13239899,5.636590909,14.10123737,15.62989899,15.39566919,95.70844444,97.15921212,45.28951515,31.10178788,26.25506061,98.85015278,99.69195455,48.82960606,34.92363636,27.02860606,99.30599167,100.9071727,57.71937273,45.70695455,37.69557273,82.083,83.327,38.842,26.674,22.517,145.507,146.746,71.877,51.407,39.786,214.775,218.238,124.833,98.853,81.526,1.758168021,2.131599585,1.916358415,1.996320783,2.161722396,"Piagran pro",1,0,1,100,3,0,35,35,0,30,0,1,1,0,1,0,0,0,0,0
"AnN_100_T1","RO-N004-21-C","Cunnersdorf WW 21/07","RO-N004-21-C_05",160,100.88,8.6,37.6,"n","Winter Rye","Dukato",2021,6.5,10.1,"C",5.3,"C",14.6,"C",0.92,0.09,1.28,0.07,0.38,0.35,"A",109.1,"C",1.53,"A",4.04,0.032,5.6,5.8,1.31,0.42,0.1,133.6,"loamy sandy silt","Uls",4,37.4,51.2,11.4,7.5,3.4,26.2,NA,NA,5.453030303,9.809469697,9.072348485,NA,NA,5.905909091,9.162310606,9.201818182,NA,NA,5.953560606,8.908030303,9.138674242,NA,NA,6.01844697,8.47155303,9.028712121,NA,NA,5.959305556,8.84729798,9.123068182,NA,NA,93.325,98.336,89.73,NA,NA,95.229,102.243,84.372,NA,NA,95.784,103.148,84.437,NA,NA,80.03930655,84.33633214,76.95584598,NA,NA,140.1762987,150.5012033,124.1956625,NA,NA,207.1580211,223.0833119,182.6177549,NA,NA,1.603081189,2.112430524,2.525386868,NA,NA,"Alzon",1,1,1,100,1,100,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"AnN_100_T1","RO-N911-22-MV","Plöwen RO 22/06","RO-N911-22-MV_05",140,72.65,10.1,36.1,"j","Winter Rye","SU Performer",2022,5.9,18.2,"C",11.8,"C",10.7,"C",1.44,0.15,3.12,0.125,1.51,0.37,"C",35.19,"C",2.94,"C",9.86,0.069,5,4.77,0.92,0.48,0.1,123.4,"pure sand","Ss",1,92,5.7,2.3,32.9,0,2.4,NA,NA,5.445833333,1.315909091,13.34659091,NA,NA,4.49375,2.449886364,13.16772727,NA,NA,4.489848485,2.563825758,12.86621212,NA,NA,4.497159091,2.779242424,12.34041667,NA,NA,4.493585859,2.597651515,12.79145202,NA,NA,101.5461212,88.16524242,17.92484848,NA,NA,102.4377424,92.04816667,24.58074242,NA,NA,108.2994636,98.6734,35.89963636,NA,NA,53.48992708,46.44148227,9.442003564,NA,NA,107.919186,96.97366407,25.89605795,NA,NA,190.1576132,173.2556894,63.03437651,NA,NA,5.160311227,2.570297239,2.897814339,NA,NA,"Alzon",1,1,1,100,1,100,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Pi46_50_50_T2_T3","WG-N945-22-ST","Derenburg WW 21/05","WG-N945-22-ST_02",140,75.03,12,41.8,"n","Winter Barley","KWS Kosmos",2022,6.6,12.1,"C",5.1,"C",9.1,"C",1.52,0.07,2.19,0.12,1.94,1.23,"C",272.2,"C",2.78,"C",9.89,0.03,12.3,11.5,0.85,0.61,0.1,105.3,"highly clayey silt","Ut4",4,4.8,73.4,21.8,0,8.7,3.8,NA,NA,1.515909091,5.037878788,8.731818182,NA,NA,2.512083333,6.970719697,9.159015152,NA,NA,2.668598485,7.045909091,9.065189394,NA,NA,2.961628788,7.149734848,8.904015152,NA,NA,2.714103535,7.055454545,9.042739899,NA,NA,93.64911111,87.48648485,90.31775758,NA,NA,95.13780556,89.81484848,89.14392424,NA,NA,96.59989167,93.55000909,89.80244545,NA,NA,80.31694271,75.03164641,77.45985065,NA,NA,160.4442959,151.4674429,150.3359687,NA,NA,263.9496406,255.6161384,245.3762918,NA,NA,1.565884082,2.23839864,1.810654735,NA,NA,"Urea",1,0,0,100,2,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0
"AnN_Pp_70_30_T2_T4","WW-N952-21-TH","Plothen WW 21/07","WW-N952-21-TH_07",145,113.08,11.7,80.3,"j","Winter Soft Wheat","Meister",2021,6,30.7,"C",8.5,"C",12.6,"C",1.09,0.15,3.01,0.24,0.74,0.81,"C",159.1,"C",2.7,"C",4.64,0.011,11.7,9.79,1.17,0.89,0.1,101.3,"silty loam","Lu",4,27.7,50.1,22.2,10.7,15.1,3.7,7.6,13.2,2.365909091,1.914393939,4.947727273,14.40530303,17.51060606,3.897954545,3.137045455,6.510340909,12.24617424,15.53852273,4.103106061,3.272537879,6.394545455,11.94594697,15.21931818,4.428333333,3.502159091,6.209810606,11.44837121,14.66208333,4.143131313,3.303914141,6.371565657,11.88016414,15.13997475,88.34888889,99.63845455,88.06515152,71.49009091,52.36524242,90.71736111,100.7217424,90.28848485,75.82471212,56.93345455,93.23146667,102.023,93.04571818,78.58845455,63.53436364,55.89463135,63.03706538,55.71512263,45.22877793,33.12928954,103.0100171,114.3700421,102.523026,86.09933974,64.6482223,162.5167108,177.8416985,162.1929228,136.9917003,110.7501166,2.120098149,3.524916478,2.557700428,2.35888988,2.068615528,"Alzon+Piagran pro",1,1,1,100,2,0,70,0,30,0,0,1,0,1,0,0,1,0,0,0
